2023-02-28 17:14:26.813730  * Response 32 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 33 from device ID 1 , data = 64797
2023-02-28 17:14:26.813730  * Response 34 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 35 from device ID 1 , data = 64295
2023-02-28 17:14:26.813730  * Response 36 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 37 from device ID 1 , data = 1733
2023-02-28 17:14:26.813730  * Response 38 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 39 from device ID 1 , data = 64326
2023-02-28 17:14:26.813730  * Response 40 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 41 from device ID 1 , data = 64820
2023-02-28 17:14:26.813730  * Response 42 from device ID 1 , data = 65535
2023-02-28 17:14:27.619049 Read holding register for device ID 1 , Start address = 258 Quantity = 16
2023-02-28 17:14:27.671051  * Response 1 from device ID 1 , data = 2375
2023-02-28 17:14:27.671051  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:27.671051  * Response 3 from device ID 1 , data = 4114
2023-02-28 17:14:27.671051  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:27.671051  * Response 5 from device ID 1 , data = 40
2023-02-28 17:14:27.671051  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:27.671051  * Response 7 from device ID 1 , data = 4611
2023-02-28 17:14:27.671051  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:27.671051  * Response 9 from device ID 1 , data = 64053
2023-02-28 17:14:27.671051  * Response 10 from device ID 1 , data = 65535
2023-02-28 17:14:27.671051  * Response 11 from device ID 1 , data = 27
2023-02-28 17:14:27.671051  * Response 12 from device ID 1 , data = 0
